Common Name,3d model,voxel model,example coords
Banded Demoiselle,,,
Beautiful Demoiselle,,,
Broad-bodied Chaser,,,
Buff-tailed Bumblebee,,,
Cave Spider,,,
Comma Butterfly,,,
Common Blue Butterfly,,,
Common Crab Spider,,,
Common Darter Dragonfly,,,
Common Fox Spider,,,
Common Frog,,https://github.com/boobalootoo/WILDPIX/blob/main/BLOX3DVIEWER/JSON/commonfrogvox.json," 50.803354, -0.044775"
Common Lizard,,,
Common Toad,,," 50.803356, -0.044775"
Death Cap Mushroom,,,
Devils Coach Horse,,,
European Adder,,,
European Garden Spider,,,
False Black Widow Spider,https://github.com/boobalootoo/WILDPIX/blob/main/BLOX3DVIEWER/JSON/falseblackwidow.json,https://github.com/boobalootoo/WILDPIX/blob/main/BLOX3DVIEWER/JSON/falseblackwidowvox.json," 50.803355, -0.044775"
Fen Raft Spider,,,
Fly Agaric Mushroom,,,
Grass Snake,,,
Great Crested Newt,,,
Hammock-web Spider,,,
Harlequin Ladybird,,,
Holly Blue Butterfly,,,
Jelly Ear Fungus,,,
Lace Web Spider,,,
Large Red Damselfly,,,
Marmalade Hoverfly,,,
Marsh Frog,,,
Migrant Hawker Dragonfly,,,
Natterjack Toad,,,
Painted Lady Butterfly,,,
Palmate Newt,,,
Panther Cap Mushroom,,,
Peacock Butterfly,,,
Raft Spider,,,
Red Admiral Butterfly,,," 50.803355, -0.044775"
Red-tailed Bumblebee,,,
Running Crab Spider,,,
Sand Lizard,,,
Scarlet Elf Cup Fungus,,,
Seven-spot Ladybird,,,
Shaggy Inkcap Mushroom,,,
Slow Worm,,," 50.803354, -0.044774"
Small Tortoiseshell Butterfly,,,
Smooth Snake,,,
Southern Hawker Dragonfly,,,
Speckled Wood Butterfly,,,
Stag Beetle,,,
Stinkhorn Fungus,,,
Stripe-legged Spider,,,
Thick-legged Flower Beetle,,,
Tree Bumblebee,,,
Wall Lizard,,,
Alpine Newt,,,
Edible Frog,,,
Emperor Dragonfly,,,
Orange Peel Fungus,,,
Balearic Shearwater,,,
Barn Owl,,,
Bearded Tit,,,
Black Guillemot,,,
Black Redstart,,,
Blackcap,https://github.com/boobalootoo/WILDPIX/blob/main/BLOX3DVIEWER/JSON/blackcap.json,https://github.com/boobalootoo/WILDPIX/blob/main/BLOX3DVIEWER/JSON/blackcapvox.json," 50.803356, -0.044776"
Black-headed Gull,,,
Black-throated Thrush,,,
Blue Tit,,,
Brambling,,,
Carrion Crow,,,
Chaffinch,,,
Coal Tit,,,
Collared Dove,,,
Common Blackbird,,,
Common Crossbill,,,
Common Kingfisher,,,
Common Linnet,,,
Common Moorhen,,,
Common Redshank,,,
Common Sandpiper,,,
Common Snipe,,,
Common Swift,,,
Common Wood Pigeon,,,
Cormorant,,,
Corn Bunting,,,
Corncrake,,,
Cuckoo,,,
Dusky Warbler,,,
Eurasian Blackbird,,,
Eurasian Curlew,,,
Eurasian Magpie,,,
Eurasian Wren,,,
European Goldfinch,,,
European Greenfinch,,,
European Nightjar,,,
European Robin,,,
European Starling,,,
European Stonechat,,,
Firecrest,,,
Goldfinch,,,
Great Crested Grebe,,,
Great Spotted Woodpecker,,,
Great Tit,,,
Grey Heron,,,
Hen Harrier,,,
Herring Gull,,,
House Sparrow,,,
Jackdaw,,,
Kestrel,,,
Little Egret,,,
Little Owl,,,
Little Tern,,,
Long-tailed Tit,,,
Mallard Duck,,,
Marsh Harrier,,,
Meadow Pipit,,,
Mute Swan,,,
Northern Lapwing,,,
Northern Wheatear,,,
Pallas's Warbler,,,
Peregrine Falcon,,,
Pied Wagtail,,,
Pomarine Skua,,,
Red Kite,,,
Red-backed Shrike,,,
Red-flanked Bluetail,,,
Red-throated Diver,,,
Redwing,,,
Reed Bunting,,,
Ring Ouzel,,,
Rook,,,
Roseate Tern,,,
Rustic Bunting,,,
Sand Martin,,,
Serin,,,
Shag,,,
Shore Lark,,,
Skylark,,,
Snow Bunting,,,
Song Thrush,,,
Spotted Flycatcher,,,
Tawny Owl,,,
Tree Pipit,,,
Water Rail,,,
Whinchat,,,
White-tailed Eagle,,,
Wood Warbler,,,
Woodcock,,,
Woodlark,,,
Yellow Wagtail,,,
Greater Plantain,,,
Silverweed,,,
Great Willowherb,,,
Spearmint,,,
Wild Radish,,,
Common Chickweed,,,
Hedge Bindweed,,,
Germander Speedwell,,,
Red Dead-nettle,,,
